id,name,location_id/id
location_gbj_453,R0149,__export__.stock_location_996
location_gbj_454,R0150,__export__.stock_location_996
location_gbj_455,R0151,__export__.stock_location_996
location_gbj_456,R0152,__export__.stock_location_996
location_gbj_457,R0153,__export__.stock_location_996
location_gbj_458,R0154,__export__.stock_location_996
location_gbj_459,R0155,__export__.stock_location_996
location_gbj_460,R0156,__export__.stock_location_996
location_gbj_461,R0157,__export__.stock_location_996
location_gbj_462,R0158,__export__.stock_location_996
location_gbj_463,R0159,__export__.stock_location_996
location_gbj_464,R0160,__export__.stock_location_996
location_gbj_465,R0161,__export__.stock_location_996
location_gbj_466,R0162,__export__.stock_location_996
location_gbj_467,R0163,__export__.stock_location_996
location_gbj_468,R0164,__export__.stock_location_996
location_gbj_469,R0165,__export__.stock_location_996
location_gbj_470,R0166,__export__.stock_location_996
location_gbj_471,R0167,__export__.stock_location_996
location_gbj_472,R0168,__export__.stock_location_996
location_gbj_473,R0169,__export__.stock_location_996
location_gbj_474,R0170,__export__.stock_location_996
location_gbj_475,R0171,__export__.stock_location_996
location_gbj_476,R0172,__export__.stock_location_996
location_gbj_477,R0173,__export__.stock_location_996
location_gbj_478,R0174,__export__.stock_location_996
location_gbj_479,R0175,__export__.stock_location_996
location_gbj_480,R0176,__export__.stock_location_996
location_gbj_481,R0177,__export__.stock_location_996
location_gbj_482,R0178,__export__.stock_location_996
location_gbj_483,R0179,__export__.stock_location_996
location_gbj_484,R0180,__export__.stock_location_996
location_gbj_485,R0181,__export__.stock_location_996
location_gbj_486,R0182,__export__.stock_location_996
location_gbj_487,R0183,__export__.stock_location_996
location_gbj_488,R0184,__export__.stock_location_996
location_gbj_489,R0185,__export__.stock_location_996
location_gbj_490,R0186,__export__.stock_location_996
location_gbj_491,R0187,__export__.stock_location_996
location_gbj_492,R0188,__export__.stock_location_996
location_gbj_493,R0189,__export__.stock_location_996
location_gbj_494,R0190,__export__.stock_location_996
location_gbj_495,R0191,__export__.stock_location_996
location_gbj_496,R0192,__export__.stock_location_996
location_gbj_497,R0193,__export__.stock_location_996
location_gbj_498,R0194,__export__.stock_location_996
