id,name,location_id/id
location_gbj_203,I.44,__export__.stock_location_996
location_gbj_204,I.45,__export__.stock_location_996
location_gbj_205,I.46,__export__.stock_location_996
location_gbj_206,I.47,__export__.stock_location_996
location_gbj_207,I.48,__export__.stock_location_996
location_gbj_208,I.49,__export__.stock_location_996
location_gbj_209,I.50,__export__.stock_location_996
location_gbj_210,K1500,__export__.stock_location_996
location_gbj_211,K1501,__export__.stock_location_996
location_gbj_212,K1502,__export__.stock_location_996
location_gbj_213,K1503,__export__.stock_location_996
location_gbj_214,K1504,__export__.stock_location_996
location_gbj_215,K1505,__export__.stock_location_996
location_gbj_216,K1506,__export__.stock_location_996
location_gbj_217,K1507,__export__.stock_location_996
location_gbj_218,K1508,__export__.stock_location_996
location_gbj_219,K1509,__export__.stock_location_996
location_gbj_220,K1510,__export__.stock_location_996
location_gbj_221,K1511,__export__.stock_location_996
location_gbj_222,K1512,__export__.stock_location_996
location_gbj_223,L01.1.1,__export__.stock_location_996
location_gbj_224,L01.1.2,__export__.stock_location_996
location_gbj_225,L01.1.3,__export__.stock_location_996
location_gbj_226,L01.1.4,__export__.stock_location_996
location_gbj_227,L01.1.5,__export__.stock_location_996
location_gbj_228,L02.1.1,__export__.stock_location_996
location_gbj_229,L02.1.2,__export__.stock_location_996
location_gbj_230,L02.1.3,__export__.stock_location_996
location_gbj_231,L02.1.4,__export__.stock_location_996
location_gbj_232,L02.1.5,__export__.stock_location_996
location_gbj_233,L03.1.1,__export__.stock_location_996
location_gbj_234,L03.1.2,__export__.stock_location_996
location_gbj_235,L03.1.3,__export__.stock_location_996
location_gbj_236,L03.1.4,__export__.stock_location_996
location_gbj_237,L03.1.5,__export__.stock_location_996
location_gbj_238,L04.1.1,__export__.stock_location_996
location_gbj_239,L04.1.2,__export__.stock_location_996
location_gbj_240,L04.1.3,__export__.stock_location_996
location_gbj_241,L04.1.4,__export__.stock_location_996
location_gbj_242,L04.1.5,__export__.stock_location_996
location_gbj_243,L05.1.1,__export__.stock_location_996
location_gbj_244,L05.1.2,__export__.stock_location_996
location_gbj_245,L05.1.3,__export__.stock_location_996
location_gbj_246,L05.1.4,__export__.stock_location_996
location_gbj_247,L05.1.5,__export__.stock_location_996
location_gbj_248,L06.1.1,__export__.stock_location_996
location_gbj_249,L06.1.2,__export__.stock_location_996
